agency,description,name,price
Long Realty Covey Luxury Properties,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,790'}",300 N Sorrel Ct Trailhead At Torreon,"$1,295,000"
Coldwell Banker Realty,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '3,947'}",18203 N Gardenview Dr Sun City West Unit 22,"$725,000"
Coldwell Banker Realty,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,656'}",20404 N Aurora Dr Sun City West 1L,"$724,875"
Realty One Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,982'}",13315 W Paintbrush Dr Sun City West 17B,"$719,999"
Homesmart,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,559'}",22920 N Pedregosa Dr Corte Bella Country Club Unit M,"$699,999"
Exp Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,660'}",13203 W Shadow Hills Dr Sun City West Unit 3,"$695,000"
Redfin Corporation,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,382'}",13727 W Sola Dr Corte Bella Country Club Phase 3 Santa Barbara,"$689,500"
West Usa Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,640'}",22833 N 120th Ln Crossriver Unit 7,"$699,999"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '1,930'}",11102 W Caron Ct Rancho Estates Unit Four Lots 1 Through 34,"$699,000"
Listed Simply,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,894'}",15025 N Cameo Dr Sun City Unit 25,"$685,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,701'}",11966 W Jessie Ln Crossriver Unit 7,"$625,000"
Exp Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,992'}",10616 W Cameo Dr Sun City Unit 18,"$625,000"
